         151         151
  -3.413334      -3.946667      0.8808106    
  -3.360000      -3.946667      -1.306720    
  -3.306667      -3.946667      0.9403946    
  -3.253334      -3.946667      0.1857110    
  -3.200000      -3.946667      -1.382898    
  -3.146667      -3.946667       1.629180    
  -3.093333      -3.946667     -0.4335724    
  -3.040000      -3.946667      -1.397216    
  -2.986667      -3.946667       2.087216    
  -2.933333      -3.946667     -0.5784808    
  -2.880000      -3.946667      -1.855680    
  -2.826667      -3.946667       2.361545    
  -2.773334      -3.946667      0.1626409    
  -2.720000      -3.946667      -2.835355    
  -2.666667      -3.946667       1.756436    
  -2.613333      -3.946667       2.162050    
  -2.560000      -3.946667      -3.140339    
  -2.506667      -3.946667      -1.022745    
  -2.453333      -3.946667       3.919324    
  -2.400000      -3.946667     -1.2293616E-02
  -2.346667      -3.946667      -4.377650    
  -2.293334      -3.946667      0.6209549    
  -2.240000      -3.946667       4.818364    
  -2.186667      -3.946667     -0.5991606    
  -2.133333      -3.946667      -5.361970    
  -2.080000      -3.946667     -0.2733431    
  -2.026667      -3.946667       5.789978    
  -1.973333      -3.946667       2.190030    
  -1.920000      -3.946667      -5.396677    
  -1.866667      -3.946667      -4.941104    
  -1.813334      -3.946667       3.083998    
  -1.760000      -3.946667       7.219767    
  -1.706667      -3.946667       1.728014    
  -1.653333      -3.946667      -6.354228    
  -1.600000      -3.946667      -7.134122    
  -1.546667      -3.946667      0.2659403    
  -1.493333      -3.946667       7.751740    
  -1.440000      -3.946667       7.725636    
  -1.386667      -3.946667      0.3862263    
  -1.333333      -3.946667      -7.565377    
  -1.280000      -3.946667      -9.588239    
  -1.226667      -3.946667      -4.416565    
  -1.173333      -3.946667       3.949886    
  -1.120000      -3.946667       9.940689    
  -1.066667      -3.946667       10.20425    
  -1.013333      -3.946667       5.055226    
 -0.9600001      -3.946667      -2.527878    
 -0.9066668      -3.946667      -8.990355    
 -0.8533334      -3.946667      -11.92671    
 -0.8000000      -3.946667      -10.74579    
 -0.7466667      -3.946667      -6.370977    
 -0.6933333      -3.946667     -0.4688275    
 -0.6400000      -3.946667       5.308130    
 -0.5866666      -3.946667       9.793225    
 -0.5333333      -3.946667       12.44981    
 -0.4799999      -3.946667       13.28073    
 -0.4266666      -3.946667       12.63177    
 -0.3733332      -3.946667       10.99229    
 -0.3199999      -3.946667       8.847082    
 -0.2666665      -3.946667       6.594747    
 -0.2133332      -3.946667       4.518971    
 -0.1599998      -3.946667       2.798285    
 -0.1066667      -3.946667       1.529442    
 -5.3333119E-02  -3.946667      0.7573982    
  0.0000000E+00  -3.946667      0.4987558    
  5.3333584E-02  -3.946667      0.7573982    
  0.1066667      -3.946667       1.529442    
  0.1600003      -3.946667       2.798285    
  0.2133334      -3.946667       4.518971    
  0.2666670      -3.946667       6.594747    
  0.3200001      -3.946667       8.847082    
  0.3733332      -3.946667       10.99229    
  0.4266668      -3.946667       12.63177    
  0.4799999      -3.946667       13.28073    
  0.5333335      -3.946667       12.44981    
  0.5866666      -3.946667       9.793225    
  0.6400002      -3.946667       5.308130    
  0.6933333      -3.946667     -0.4688275    
  0.7466669      -3.946667      -6.370977    
  0.8000000      -3.946667      -10.74579    
  0.8533337      -3.946667      -11.92671    
  0.9066668      -3.946667      -8.990355    
  0.9600003      -3.946667      -2.527878    
   1.013333      -3.946667       5.055226    
   1.066667      -3.946667       10.20425    
   1.120000      -3.946667       9.940689    
   1.173333      -3.946667       3.949886    
   1.226667      -3.946667      -4.416565    
   1.280000      -3.946667      -9.588239    
   1.333334      -3.946667      -7.565377    
   1.386667      -3.946667      0.3862263    
   1.440000      -3.946667       7.725636    
   1.493333      -3.946667       7.751740    
   1.546667      -3.946667      0.2659403    
   1.600000      -3.946667      -7.134122    
   1.653334      -3.946667      -6.354228    
   1.706667      -3.946667       1.728014    
   1.760000      -3.946667       7.219767    
   1.813334      -3.946667       3.083998    
   1.866667      -3.946667      -4.941104    
   1.920000      -3.946667      -5.396677    
   1.973334      -3.946667       2.190117    
   2.026667      -3.946667       5.789978    
   2.080000      -3.946667     -0.2733431    
   2.133334      -3.946667      -5.361968    
   2.186667      -3.946667     -0.5991606    
   2.240000      -3.946667       4.818362    
   2.293334      -3.946667      0.6209549    
   2.346667      -3.946667      -4.377654    
   2.400000      -3.946667     -1.2293616E-02
   2.453334      -3.946667       3.919322    
   2.506667      -3.946667      -1.022745    
   2.560000      -3.946667      -3.140313    
   2.613333      -3.946667       2.162050    
   2.666667      -3.946667       1.756396    
   2.720000      -3.946667      -2.835355    
   2.773334      -3.946667      0.1626409    
   2.826667      -3.946667       2.361545    
   2.880000      -3.946667      -1.855681    
   2.933334      -3.946667     -0.5784466    
   2.986667      -3.946667       2.087216    
   3.040000      -3.946667      -1.397237    
   3.093333      -3.946667     -0.4335724    
   3.146667      -3.946667       1.629170    
   3.200000      -3.946667      -1.382898    
   3.253334      -3.946667      0.1857338    
   3.306667      -3.946667      0.9403946    
   3.360000      -3.946667      -1.306718    
   3.413334      -3.946667      0.8808106    
   3.466667      -3.946667     -7.9972267E-02
   3.520000      -3.946667     -0.6146266    
   3.573334      -3.946667      0.9241063    
   3.626667      -3.946667     -0.8269977    
   3.680001      -3.946667      0.4701683    
   3.733334      -3.946667     -4.3808963E-02
   3.786667      -3.946667     -0.3067178    
   3.840000      -3.946667      0.5125130    
   3.893334      -3.946667     -0.5710986    
   3.946667      -3.946667      0.5186375    
   4.000000      -3.946667     -0.4030269    
  -4.000000      -3.893333      0.5220649    
  -3.946667      -3.893333     -0.5711005    
  -3.893333      -3.893333      0.5266247    
  -3.840000      -3.893333     -0.3526226    
  -3.786667      -3.893333      4.0030032E-02
  -3.733333      -3.893333      0.3680241    
  -3.680000      -3.893333     -0.7593049    
  -3.626667      -3.893333      0.9644001    
  -3.573334      -3.893333     -0.8159456    
  -3.520000      -3.893333      0.2541037    
  -3.466667      -3.893333      0.5645425    
  -3.413334      -3.893333      -1.242879    
  -3.360000      -3.893333       1.296690    
  -3.306667      -3.893333     -0.4886694    
  -3.253334      -3.893333     -0.8371215    
  -3.200000      -3.893333       1.758402    
  -3.146667      -3.893333      -1.357702    
  -3.093333      -3.893333     -0.3550786    
  -3.040000      -3.893333       2.024556    
  -2.986667      -3.893333      -1.871819    
  -2.933333      -3.893333     -0.3816435    
  -2.880000      -3.893333       2.551655    
  -2.826667      -3.893333      -1.884804    
  -2.773334      -3.893333      -1.364002    
  -2.720000      -3.893333       3.202663    
  -2.666667      -3.893333     -0.6340438    
  -2.613333      -3.893333      -3.263009    
  -2.560000      -3.893333       2.450765    
  -2.506667      -3.893333       2.579404    
  -2.453333      -3.893333      -3.725543    
  -2.400000      -3.893333      -1.791407    
  -2.346667      -3.893333       4.553010    
  -2.293334      -3.893333       1.363041    
  -2.240000      -3.893333      -5.132375    
