 -1.300000000000000E-002 NaN                     -1.300000000000000E-002
 NaN                     -1.300000000000000E-002 NaN                    
 -1.300000000000000E-002 NaN                    
 -1.293333333333333E-002 NaN                     -1.293333333333333E-002
 NaN                     -1.293333333333333E-002 NaN                    
 -1.293333333333333E-002 NaN                    
 -1.286666666666667E-002 NaN                     -1.286666666666667E-002
 NaN                     -1.286666666666667E-002 NaN                    
 -1.286666666666667E-002 NaN                    
 -1.280000000000000E-002 NaN                     -1.280000000000000E-002
 NaN                     -1.280000000000000E-002 NaN                    
 -1.280000000000000E-002 NaN                    
 -1.273333333333333E-002 NaN                     -1.273333333333333E-002
 NaN                     -1.273333333333333E-002 NaN                    
 -1.273333333333333E-002 NaN                    
 -1.266666666666667E-002 NaN                     -1.266666666666667E-002
 NaN                     -1.266666666666667E-002 NaN                    
 -1.266666666666667E-002 NaN                    
 -1.260000000000000E-002 NaN                     -1.260000000000000E-002
 NaN                     -1.260000000000000E-002 NaN                    
 -1.260000000000000E-002 NaN                    
 -1.253333333333333E-002 NaN                     -1.253333333333333E-002
 NaN                     -1.253333333333333E-002 NaN                    
 -1.253333333333333E-002 NaN                    
 -1.246666666666667E-002 NaN                     -1.246666666666667E-002
 NaN                     -1.246666666666667E-002 NaN                    
 -1.246666666666667E-002 NaN                    
 -1.240000000000000E-002 NaN                     -1.240000000000000E-002
 NaN                     -1.240000000000000E-002 NaN                    
 -1.240000000000000E-002 NaN                    
 -1.233333333333333E-002 NaN                     -1.233333333333333E-002
 NaN                     -1.233333333333333E-002 NaN                    
 -1.233333333333333E-002 NaN                    
 -1.226666666666667E-002 NaN                     -1.226666666666667E-002
 NaN                     -1.226666666666667E-002 NaN                    
 -1.226666666666667E-002 NaN                    
 -1.220000000000000E-002 NaN                     -1.220000000000000E-002
 NaN                     -1.220000000000000E-002 NaN                    
 -1.220000000000000E-002 NaN                    
 -1.213333333333333E-002 NaN                     -1.213333333333333E-002
 NaN                     -1.213333333333333E-002 NaN                    
 -1.213333333333333E-002 NaN                    
 -1.206666666666667E-002 NaN                     -1.206666666666667E-002
 NaN                     -1.206666666666667E-002 NaN                    
 -1.206666666666667E-002 NaN                    
 -1.200000000000000E-002 NaN                     -1.200000000000000E-002
 NaN                     -1.200000000000000E-002 NaN                    
 -1.200000000000000E-002 NaN                    
 -1.193333333333333E-002 NaN                     -1.193333333333333E-002
 NaN                     -1.193333333333333E-002 NaN                    
 -1.193333333333333E-002 NaN                    
 -1.186666666666667E-002 NaN                     -1.186666666666667E-002
 NaN                     -1.186666666666667E-002 NaN                    
 -1.186666666666667E-002 NaN                    
 -1.180000000000000E-002 NaN                     -1.180000000000000E-002
 NaN                     -1.180000000000000E-002 NaN                    
 -1.180000000000000E-002 NaN                    
 -1.173333333333333E-002 NaN                     -1.173333333333333E-002
 NaN                     -1.173333333333333E-002 NaN                    
 -1.173333333333333E-002 NaN                    
 -1.166666666666667E-002 NaN                     -1.166666666666667E-002
 NaN                     -1.166666666666667E-002 NaN                    
 -1.166666666666667E-002 NaN                    
 -1.160000000000000E-002 NaN                     -1.160000000000000E-002
 NaN                     -1.160000000000000E-002 NaN                    
 -1.160000000000000E-002 NaN                    
 -1.153333333333333E-002 NaN                     -1.153333333333333E-002
 NaN                     -1.153333333333333E-002 NaN                    
 -1.153333333333333E-002 NaN                    
 -1.146666666666667E-002 NaN                     -1.146666666666667E-002
 NaN                     -1.146666666666667E-002 NaN                    
 -1.146666666666667E-002 NaN                    
 -1.140000000000000E-002 NaN                     -1.140000000000000E-002
 NaN                     -1.140000000000000E-002 NaN                    
 -1.140000000000000E-002 NaN                    
 -1.133333333333333E-002 NaN                     -1.133333333333333E-002
